"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","CPI","TOT","AGRWTH","M","2018-05",2.222222,
"CAN","CPI","TOT","AGRWTH","M","2018-06",2.453988,
"CAN","CPI","TOT","AGRWTH","M","2018-07",2.990798,
"CAN","CPI","TOT","AGRWTH","M","2018-08",2.835249,
"CAN","CPI","TOT","AGRWTH","M","2018-09",2.217125,
"CAN","CPI","TOT","AGRWTH","M","2018-10",2.444614,
"CAN","CPI","TOT","AGRWTH","M","2018-11",1.675552,
"CAN","CPI","TOT","AGRWTH","M","2018-12",1.987768,
"CAN","CPI","TOT","AGRWTH","M","2019-01",1.442673,
"CAN","CPI","TOT","AGRWTH","M","2019-02",1.509434,
"CAN","CPI","TOT","AGRWTH","M","2019-03",1.881114,
"CAN","CPI","TOT","AGRWTH","M","2019-04",2.025506,
"CAN","CPI","TOT","AGRWTH","M","2019-05",2.398801,
"CAN","CPI","TOT","AGRWTH","M","2019-06",2.020958,
"CAN","CPI","TOT","AGRWTH","M","2019-07",2.010424,
"CAN","CPI","TOT","AGRWTH","M","2019-08",1.937407,
"CAN","CPI","TOT","AGRWTH","M","2019-09",1.869858,
"CAN","CPI","TOT","AGRWTH","M","2019-10",1.86428,
"CAN","CPI","TOT","AGRWTH","M","2019-11",2.172285,
"CAN","CPI","TOT","AGRWTH","M","2019-12",2.248876,
"CAN","CPI","TOT","AGRWTH","M","2020-01",2.39521,
"CAN","CPI","TOT","AGRWTH","M","2020-02",2.156134,
"CAN","CPI","TOT","AGRWTH","M","2020-03",0.886263,
"CAN","CPI","TOT","AGRWTH","M","2020-04",-0.2205882,
"CAN","CPI","TOT","AGRWTH","M","2020-05",-0.3660322,
"CAN","CPI","TOT","AGRWTH","M","2020-06",0.6603081,
"CAN","CPI","TOT","AGRWTH","M","2020-07",0.1459854,
"CAN","CPI","TOT","AGRWTH","M","2020-08",0.1461988,
"CAN","CPI","TOT","AGRWTH","M","2020-09",0.51395,
"CAN","CPI","TOT","AGRWTH","M","2020-10",0.658858,
"CAN","CPI","TOT","AGRWTH","M","2020-11",0.9530792,
"CAN","CPI","TOT","AGRWTH","M","2020-12",0.7331378,
"CAN","CPI","TOT","AGRWTH","M","2021-01",1.023392,
"CAN","CPI","TOT","AGRWTH","M","2021-02",1.091703,
